post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47616361,Google releases Gemma 4 open models,technology,658,182,jeffmcjunkin,2026-04-03 00:56:57,0.27617602427921095,True
47618189,Tailscale's New macOS Home,technology,76,28,tosh,2026-04-03 00:56:58,0.36363636363636365,False
47618176,George Goble died recently – known for first dual-CPU-Unix and fast BBQ lighting,worldnews,33,6,finaard,2026-04-03 00:56:59,0.17647058823529413,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,311,104,pretext,2026-04-03 00:57:00,0.3333333333333333,True
47613981,LinkedIn is illegally searching your computer,technology,1299,591,digitalWestie,2026-04-03 00:57:02,0.4546153846153846,True
47618120,Hugo's New CSS Powers,sports,16,2,speckx,2026-04-03 00:57:03,0.11764705882352941,False
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,336,82,AbuAssar,2026-04-03 00:57:05,0.2433234421364985,True
47572288,JSON Canvas Spec,science,33,5,tobr,2026-04-03 00:57:06,0.14705882352941177,False
47618100,Yggdrasil Network,entertainment,11,0,Velocifyer,2026-04-03 00:57:07,0.0,False
47613078,Inside Nepal's Fake Rescue Racket,sports,210,83,lode,2026-04-03 00:57:09,0.3933649289099526,True
47618324,Ask HN: European Tech Alternatives?,technology,43,15,BrunoBernardino,2026-04-03 00:57:10,0.3409090909090909,False
47611921,Significant Raise of Reports,technology,234,119,stratos123,2026-04-03 00:57:11,0.5063829787234042,True
47611721,IBM Announces Strategic Collaboration with Arm,science,240,152,bonzini,2026-04-03 00:57:12,0.6307053941908713,True
47614100,'Backrooms' and the Rise of the Institutional Gothic,entertainment,122,60,anarbadalov,2026-04-03 00:57:13,0.4878048780487805,False
47615449,Artemis II will use laser beams to live-stream 4K moon footage at 260 Mbps,worldnews,235,97,speckx,2026-04-03 00:57:14,0.4110169491525424,True
47615434,Delve allegedly forked an open-source tool and sold it as its own,sports,203,97,nickvec,2026-04-03 00:57:16,0.47549019607843135,True
47562762,Significant progress made on Xbox 360 recompilation,science,6,0,tetrisgm,2026-04-03 00:57:17,0.0,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,154,72,Growtika,2026-04-03 00:57:18,0.4645161290322581,False
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,617,319,novaRom,2026-04-03 00:57:19,0.5161812297734628,True
47616704,Modern SQLite: Features You Didn't Know It Had,sports,109,22,thunderbong,2026-04-03 00:57:20,0.2,False
47575554,"An Example of Statistical Investigation of the Text Eugene Onegin – Markov, 1913 [pdf]",science,23,1,jxmorris12,2026-04-03 00:57:22,0.041666666666666664,False
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,8,0,sedev,2026-04-03 00:57:23,0.0,False
47547938,Quadratic Micropass Type Inference,entertainment,18,5,simvux,2026-04-03 00:57:24,0.2631578947368421,False
47611481,Bringing Clojure programming to Enterprise (2021),worldnews,173,97,smartmic,2026-04-03 00:57:26,0.5574712643678161,True
47609694,Email obfuscation: What works in 2026?,technology,308,90,jaden,2026-04-03 00:57:27,0.2912621359223301,True
47582987,Gone (Almost) Phishin',sports,149,70,luu,2026-04-03 00:57:28,0.4666666666666667,False
47616622,EmDash: A Fresh Take on CMS,science,43,9,taubek,2026-04-03 00:57:29,0.20454545454545456,False
47540441,Reinventing the pull request,entertainment,72,57,bkolobara,2026-04-03 00:57:30,0.7808219178082192,False
47563486,Emacs-libgterm: Terminal emulator for Emacs using libghostty-vt,worldnews,74,20,signa11,2026-04-03 00:57:32,0.26666666666666666,False
